text,label
rt mayasolovely woman shouldnt complain cleaning house amp man always take trash,0
rt mleew boy dats coldtyga dwn bad cuffin dat hoe st place,1
rt urkindofbrand dawg rt sbabylife ever fuck bitch start cry confused shit,1
rt cganderson vivabased look like tranny,1
rt shenikaroberts shit hear might true might faker bitch told ya,1
tmadisonx shit blows meclaim faithful somebody still fucking hoes,1
brighterdays sit hate another bitch got much shit going,1
selfiequeenbri cause im tired big bitches coming us skinny girls,1
amp might get ya bitch back amp thats,1
rhythmixx hobbies include fighting mariam bitch,1
keeks bitch curves everyone lol walked conversation like smh,1
murda gang bitch gang land,1
hoes smoke losers yea go ig,1
bad bitches thing like,1
bitch get,1
bitch nigga miss,1
bitch plz whatever,1
bitch love,1
bitches get cut everyday b,1
black bottle amp bad bitch,1
broke bitch cant tell nothing,1
cancel bitch like nino,1
cant see hoes wont change,1
fuck bitch dont even suck dick kermit videos bout fuck ig,1
got ya bitch tip toeing hardwood floors,1
pussy lips like heaven doors,1
hoe hitting,1
met pussy ocean dr gave pussy pill,1
need trippy bitch fuck hennessy,1
spend money want bitch business,1
txt old bitch new bitch pussy wetter,1
id say im back old old bitches would get excited,1
aint bout murder game pussy nigga shut,1
youre toes aint done pussy stinks,1
im done bitter bitches wrap angry bird theres app,1
ya bitch,1
aint nothing cut bitch,1
jus meet son ya mane ass bitches shots,1
lames crying hoes thats tears clown,1
like snoop said dont love hoes,1
momma said pussy cats inside doghouse,0
hated hoes favorite mw sevenone,1
nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick,1
pimps pimps hoes future voice,1
post picture pussy get likes,1
pussy powerful drug happyhumpday,1
quick piece pussy call drive,1
running round like brand new pussy thats bout get fucked,1
bitches even worst theyll send guys,1
hoes like niggas spend money talk bout,1
dont trust niggas bitches,1
yall niggas b cuffing hoes cause yall aint never bitches,1
dodge bullet darealkha da bitches cut pregnant bound thank god,1
young pill chamberlain bitches love music,1
vandalsavage teanna trump probably cleaner twitter hoes,1
dahomiefuzz gay niggas couldnt wait act like bitches tonight,1
theparadox ima steal cat n replace pitbull rt sbabylife theparadox bitch,1
amp hes gone always hoe,1
son bitch took tic tacs like movie,1
wanna get money fuck model bitches russell simmons,1
seniorprobs probably wouldnt mind school much didnt deal bitch ass teachers retweet,1
axdemery im fucking fag said,1
arizzleindacut females think dating pussy cute stuff make pussy,1
addictedguys simplyaddictedtoguys woof woof hot scally lad,0
adorebellaaa ya ever asked bitch bitches kanye voice yes,1
adorezoey u gone bring ur side bitch game know ya gf friends swear,1
allaboutmanfeet woof woof hot soles,0
allyhaaaaa lemmie eat oreo amp dishes one oreo lol,0
almightywayne jetsandaswisher gook bitch fuck u maybe youll get better,1
almightywayne fuck red malone man bitch ass niggah could please use complete sentences,1
arizonasfinest eggplant emoji doey say looked like scream lmao,0
autoworid hennessey venom gt thats one sexy bitch,1
bossbytchh seh pussy wetter shower curtainahmesehwetnessltlmao,1
brohen eaglesnation every eagles need see pic posted bitch said racist shit,1
bvsedchink yo fuck skateboarding yall wood pushing faggots man ball life amjemiebenn,1
babyanimalpics baby monkey bathtime soooo adorable,0
baylaagottabody aint shit damn skippy lol,1
beeasyjrizzy u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance,1
beenbasedb kudabrazyy rings mvps bitches lol,1
beenflynsolo ppl talk bad ghettohood kid growing nigga funnnnnnn,1
bestproadvice facts tattoostattoo hes pussy tattooing nipples,1
bill rt nelayden bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches,1
bitchjones get worshiping bitch woof woof,1
blackchiquitita wow rt thatmanpalmer im lost buttcheek piercings yeah shes hoe,1
blacknerdjade ok sis shed rather broke bitch shrugs shell tell works,1
blackmantide whalelookyhere howdydowdy queer gaywad,1
brokenpiecesmsc itsnotadam faggot read tweets dat k wasnt even funny lol,1
brosconfessions bitch ungrateful fr lulwhore,1
cashandboobies kidnapped yo bitch,1
cbbaby whitethunduh alsarabsss hes beaner smh tell hes mexican,1
ccobey aydanmccoy happy birthday nigs thanks yo,1
chlldhoodruiner ur teacher tells u u homework bitch need go,1
caelang edham caelang nigga eating hoe lol hell yea lol john paul nigga said john paul,1
canifuckornah would yall lil ugly bald headed bitches stop making makeup amp weave,1
carelessone leafs better win damn game go riot shit earlychristmas better start looting nig,1
causewereguys going back school sucks dick hoes attend,1
causewereguys way fuck yo bitch year old,1
celeynichole whitethunduh come never bring food dont car retard,1
chadmfverbeck richnow doesnt show hella tinder hoes im friend anymore chill brought like like prople,1
chandlerparsons bout cowboys shutup pussy,1
clicquotsuave lmaooooooooooo nigga krillznuhcare ltbitch want likes depressing shitfoh,1
coleycee lilaerii girl know spitting g shit amp going lbvsbitch plz,1
coleycee let make couple tweets cuzzo page wont get twitter jaillmao bitch dont trick,1
comedyposts harlem shake excuse go full retard seconds,1
comedytruth amen miley dont need act like hoe bc shes emotionally damaged foh,1
corybandz one loyal female wayyyyy better hoes idc,1
crhedrys pussy licking pussy meow meow stopwhitepeople,1
dbabholloway check th man cowboysnation even faggot ny fans stands,1
